"Grant","Organization Name","Focus Area","Amount","Date"
"Indian Institute of Technology Delhi — Air Quality Sensors in South Asia","Indian Institute of Technology Delhi","Global Health & Development","$88,000","6/2021"
"Wild Animal Initiative — Animal Welfare Research","Wild Animal Initiative","Farm Animal Welfare","$3,500,000","6/2021"
"Open Phil AI Fellowship — 2021 Class","Open Phil AI Fellowship","Potential Risks from Advanced Artificial Intelligence","$1,300,000","4/2021"
"Community Based Public Safety Collective — General Support","Community Based Public Safety Collective ","Criminal Justice Reform","$150,000","4/2021"
"Future of Humanity Institute — Research Scholars Programs","Future of Humanity Institute","Global Catastrophic Risks","$3,121,861","4/2021"
"Compassion in World Farming USA — General Support (2021)","Compassion in World Farming USA","Farm Animal Welfare","$550,000","4/2021"
"Wakker Dier — Farm Animal Welfare Litigation","Wakker Dier","Farm Animal Welfare","$1,180,000","4/2021"
"SCI Foundation — General Support","SCI Foundation","Global Health & Development","$3,129,000","3/2021"
"Abundant Housing Massachusetts — General Support","Abundant Housing Massachusetts","Land Use Reform","$600,000","3/2021"
"Wageningen University & Research — Wild-Caught Fish Welfare","Wageningen University & Research","Farm Animal Welfare","$519,434","3/2021"
"Dao Foods — Plant-Based Meat Promotion","Dao Foods","Farm Animal Welfare","$1,100,000","3/2021"
"Massachusetts Institute of Technology Media Lab — Kevin Esvelt’s Research (2021)","Massachusetts Institute of Technology Media Lab","Biosecurity and Pandemic Preparedness","$1,000,000","3/2021"
"Rethink Priorities — Moral Patienthood and Moral Weight Research","Rethink Priorities","Farm Animal Welfare","$315,500","3/2021"
"UC Davis — COVID-19 Antiviral Studies (Lark L. Coffey)","UC Davis","Scientific Research","$100,642","3/2021"
"CDC Foundation — Malaria Control Research Project (2021)","CDC Foundation","Scientific Research","$672,500","3/2021"
"UC Berkeley — Adversarial Robustness Research (David Wagner)","UC Berkeley","Potential Risks from Advanced Artificial Intelligence","$330,000","2/2021"
"Sightsavers — Deworming Programs (2021)","Sightsavers","Global Health & Development","$2,796,000","2/2021"
"UC Berkeley — Adversarial Robustness Research (Dawn Song)","UC Berkeley","Potential Risks from Advanced Artificial Intelligence","$330,000","2/2021"
