fund,amount,date,title
global-development,2000000,2020-07-29 00:00:00,July 2020: Innovations for Poverty Action
global-development,656000,2020-06-30 00:00:00,June 2020: IDinsight
global-development,0,2020-01-29 00:00:00,January 2020: Existing funds rolled forward
global-development,355000,2019-10-25 00:00:00,October 2019: One for the World
global-development,1005716,2019-08-14 00:00:00,August 2019: Fortify Health
global-development,60000,2019-04-30 00:00:00,April 2019: Instiglio
global-development,1705000,2019-03-13 00:00:00,March 2019: Malaria Consortium
global-development,1000000,2019-01-30 00:00:00,January 2019: J-PAL's Innovation in Government Initiative
global-development,1500000,2018-05-01 00:00:00,April 2018: Schistosomiasis Control Initiative
global-development,150000,2017-10-18 00:00:00,September 2017: No Lean Season
global-development,331126,2017-06-28 00:00:00,April 2017: Against Malaria Foundation
animal-welfare,680000,2020-08-07 00:00:00,July 2020: Animal Welfare Fund Grants
animal-welfare,671000,2020-03-27 00:00:00,March 2020: Animal Welfare Fund Grants
animal-welfare,415000,2019-11-22 00:00:00,November 2019: Animal Welfare Fund Grants
animal-welfare,440000,2019-08-24 00:00:00,July 2019: Animal Welfare Fund Grants
animal-welfare,445000,2019-03-07 00:00:00,March 2019: Animal Welfare Fund Grants
animal-welfare,341000,2018-12-31 00:00:00,December 2018: Animal Welfare Fund Grants
animal-welfare,1205000,2018-08-01 00:00:00,June 2018: Animal Welfare Fund Grants
animal-welfare,750000,2018-05-01 00:00:00,March 2018: Animal Welfare Fund Grants
animal-welfare,150000,2018-01-15 00:00:00,November 2017: Animal Welfare Fund Grants
animal-welfare,180000,2017-04-15 00:00:00,April 2017: Animal Welfare Fund Grants
far-future,488350,2020-04-15 00:00:00,April 2020: Long-Term Future Fund Grants and Recommendations
far-future,466000,2019-11-22 00:00:00,November 2019: Long-Term Future Fund Grants
far-future,415697,2019-08-31 00:00:00,August 2019: Long-Term Future Fund Grants and Recommendations
far-future,875150,2019-03-21 00:00:00,April 2019: Long-Term Future Fund Grants and Recommendations
far-future,95500,2018-11-30 00:00:00,November 2018: Long-Term Future Fund Grants
far-future,917000,2018-08-15 00:00:00,July 2018: Long-Term Future Fund Grants
far-future,14838,2017-03-21 00:00:00,March 2017: Berkeley Existential Risk Initiative (BERI)
ea-community,838000,2020-08-07 00:00:00,July 2020: EA Meta Fund Grants
ea-community,522000,2020-03-27 00:00:00,March 2020: EA Meta Fund Grants
ea-community,330000,2019-11-22 00:00:00,November 2019: EA Meta Fund Grants
ea-community,466000,2019-08-24 00:00:00,July 2019: EA Meta Fund Grants
ea-community,512000,2019-03-08 00:00:00,March 2019: EA Meta Fund Grants
ea-community,129000,2018-11-30 00:00:00,November 2018: EA Meta Fund Grants
ea-community,526000,2018-08-15 00:00:00,July 2018: EA Meta Fund Grants
ea-community,83264,2018-01-15 00:00:00,December 2017: EA Sweden Grant
