Age,Percent
15,0.00053
17,0.0029
18,0.014
19,0.025
20,0.046
21,0.051
22,0.058
23,0.056
24,0.062
25,0.064
26,0.068
27,0.058
28,0.048
29,0.056
30,0.047
31,0.047
32,0.053
33,0.034
34,0.025
35,0.022
36,0.015
37,0.013
38,0.01
39,0.011
40,0.013
41,0.0083
42,0.0071
43,0.0041
44,0.0071
45,0.0034
46,0.0041
47,0.0046
48,0.0022
49,0.0065
50,0.0022
51,0.0029
52,0.0065
53,0.0029
54,0.0011
55,0.0034
56,0.0022
57,0.0011
59,0.0029
61,0.0011
62,0.0011
63,0.00053
64,0.0022
65,0.0017
66,0.0017
67,0.0022
68,0.0012
69,0.0017
70,0.0012
71,0.0011
72,0.0041
73,0.0011
75,0.00053
